step,ema
201,5.3088
1001,2.5248
1801,4.7721
2601,4.2252
3401,4.2836
4201,3.3111
5001,4.8093
5801,4.2590
6601,4.4570
7401,2.9546
8201,2.4102
9001,4.5979
9801,4.4756
10601,3.5363
11401,2.8863
12201,4.6576
13001,4.1752
13801,4.3777
14601,3.1459
15401,5.0213
16201,4.2919
17001,4.7197
17801,3.1183
18601,4.8579
19401,4.4745
20201,4.6537
21001,3.1969
21801,2.7628
22601,4.6098
23401,4.6473
24201,4.4491
25001,2.3867
25801,4.7159
26601,4.2378
27401,4.3584
28201,3.4589
29001,5.3619
29801,4.7956
30601,5.6950
31401,3.6573
